City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
380,vernon,50.2581,-119.2691,9.79,43,79,2.06,CA,1715060765
381,kulhudhuffushi,6.6221,73.07,29.4,74,97,3.18,MV,1715060957
382,tonekabon,36.8163,50.8738,17.97,86,95,2.97,IR,1715060957
383,aitape,-3.1374,142.3475,28.83,80,99,2.04,PG,1715060958
384,mangalia,43.8,28.5833,15.84,78,16,6.54,RO,1715060959
385,escarcega,18.6089,-90.7454,28.14,59,7,3.2,MX,1715060959
386,ban karon,7.8477,98.2985,32.66,56,99,2.37,TH,1715060960
387,nagqu,31.5,92.0,9.58,25,100,4.33,CN,1715060961
388,yaren,-0.5472,166.916,29.2,72,11,5.77,NR,1715060961
389,quang ngai,15.1167,108.8,34.57,48,30,5.92,VN,1715060962
390,homer,59.6425,-151.5483,6.88,72,100,2.06,US,1715060963
